idx,sample_id,image_path,text_source,image_source,fake_cls,gt_answers,label
33,train_000033,/real/bbc_test_500/bbc_test_33.png,VisualNews,VisualNews,original,True,0
34,train_000034,/real/bbc_test_500/bbc_test_34.png,VisualNews,VisualNews,original,True,0
35,train_000035,/real/bbc_test_500/bbc_test_35.png,VisualNews,VisualNews,original,True,0
36,train_000036,/real/bbc_test_500/bbc_test_36.png,VisualNews,VisualNews,original,True,0
37,train_000037,/real/bbc_test_500/bbc_test_37.png,VisualNews,VisualNews,original,True,0
38,train_000038,/real/bbc_test_500/bbc_test_38.png,VisualNews,VisualNews,original,True,0
39,train_000039,/real/bbc_test_500/bbc_test_39.png,VisualNews,VisualNews,original,True,0
40,train_000040,/real/bbc_test_500/bbc_test_40.png,VisualNews,VisualNews,original,True,0
41,train_000041,/real/bbc_test_500/bbc_test_41.png,VisualNews,VisualNews,original,True,0
42,train_000042,/real/bbc_test_500/bbc_test_42.png,VisualNews,VisualNews,original,True,0
43,train_000043,/real/bbc_test_500/bbc_test_43.png,VisualNews,VisualNews,original,True,0
44,train_000044,/real/bbc_test_500/bbc_test_44.png,VisualNews,VisualNews,original,True,0
45,train_000045,/real/bbc_test_500/bbc_test_45.png,VisualNews,VisualNews,original,True,0
46,train_000046,/real/bbc_test_500/bbc_test_46.png,VisualNews,VisualNews,original,True,0
47,train_000047,/real/bbc_test_500/bbc_test_47.png,VisualNews,VisualNews,original,True,0
48,train_000048,/real/bbc_test_500/bbc_test_48.png,VisualNews,VisualNews,original,True,0
49,train_000049,/real/bbc_test_500/bbc_test_49.png,VisualNews,VisualNews,original,True,0
50,train_000050,/real/bbc_test_500/bbc_test_50.png,VisualNews,VisualNews,original,True,0
51,train_000051,/real/bbc_test_500/bbc_test_51.png,VisualNews,VisualNews,original,True,0
52,train_000052,/real/bbc_test_500/bbc_test_52.png,VisualNews,VisualNews,original,True,0
53,train_000053,/real/bbc_test_500/bbc_test_53.png,VisualNews,VisualNews,original,True,0
54,train_000054,/real/bbc_test_500/bbc_test_54.png,VisualNews,VisualNews,original,True,0
55,train_000055,/real/bbc_test_500/bbc_test_55.png,VisualNews,VisualNews,original,True,0
56,train_000056,/real/bbc_test_500/bbc_test_56.png,VisualNews,VisualNews,original,True,0
57,train_000057,/real/bbc_test_500/bbc_test_57.png,VisualNews,VisualNews,original,True,0
58,train_000058,/real/bbc_test_500/bbc_test_58.png,VisualNews,VisualNews,original,True,0
59,train_000059,/real/bbc_test_500/bbc_test_59.png,VisualNews,VisualNews,original,True,0
60,train_000060,/real/bbc_test_500/bbc_test_60.png,VisualNews,VisualNews,original,True,0
61,train_000061,/real/bbc_test_500/bbc_test_61.png,VisualNews,VisualNews,original,True,0
62,train_000062,/real/bbc_test_500/bbc_test_62.png,VisualNews,VisualNews,original,True,0
63,train_000063,/real/bbc_test_500/bbc_test_63.png,VisualNews,VisualNews,original,True,0
64,train_000064,/real/bbc_test_500/bbc_test_64.png,VisualNews,VisualNews,original,True,0
65,train_000065,/real/bbc_test_500/bbc_test_65.png,VisualNews,VisualNews,original,True,0
66,train_000066,/real/bbc_test_500/bbc_test_66.png,VisualNews,VisualNews,original,True,0
67,train_000067,/real/bbc_test_500/bbc_test_67.png,VisualNews,VisualNews,original,True,0
68,train_000068,/real/bbc_test_500/bbc_test_68.png,VisualNews,VisualNews,original,True,0
69,train_000069,/real/bbc_test_500/bbc_test_69.png,VisualNews,VisualNews,original,True,0
70,train_000070,/real/bbc_test_500/bbc_test_70.png,VisualNews,VisualNews,original,True,0
71,train_000071,/real/bbc_test_500/bbc_test_71.png,VisualNews,VisualNews,original,True,0
72,train_000072,/real/bbc_test_500/bbc_test_72.png,VisualNews,VisualNews,original,True,0
73,train_000073,/real/bbc_test_500/bbc_test_73.png,VisualNews,VisualNews,original,True,0
74,train_000074,/real/bbc_test_500/bbc_test_74.png,VisualNews,VisualNews,original,True,0
75,train_000075,/real/bbc_test_500/bbc_test_75.png,VisualNews,VisualNews,original,True,0
76,train_000076,/real/bbc_test_500/bbc_test_76.png,VisualNews,VisualNews,original,True,0
77,train_000077,/real/bbc_test_500/bbc_test_77.png,VisualNews,VisualNews,original,True,0
78,train_000078,/real/bbc_test_500/bbc_test_78.png,VisualNews,VisualNews,original,True,0
79,train_000079,/real/bbc_test_500/bbc_test_79.png,VisualNews,VisualNews,original,True,0
80,train_000080,/real/bbc_test_500/bbc_test_80.png,VisualNews,VisualNews,original,True,0
81,train_000081,/real/bbc_test_500/bbc_test_81.png,VisualNews,VisualNews,original,True,0
82,train_000082,/real/bbc_test_500/bbc_test_82.png,VisualNews,VisualNews,original,True,0
83,train_000083,/real/bbc_test_500/bbc_test_83.png,VisualNews,VisualNews,original,True,0
84,train_000084,/real/bbc_test_500/bbc_test_84.png,VisualNews,VisualNews,original,True,0
85,train_000085,/real/bbc_test_500/bbc_test_85.png,VisualNews,VisualNews,original,True,0
86,train_000086,/real/bbc_test_500/bbc_test_86.png,VisualNews,VisualNews,original,True,0
87,train_000087,/real/bbc_test_500/bbc_test_87.png,VisualNews,VisualNews,original,True,0
88,train_000088,/real/bbc_test_500/bbc_test_88.png,VisualNews,VisualNews,original,True,0
89,train_000089,/real/bbc_test_500/bbc_test_89.png,VisualNews,VisualNews,original,True,0
90,train_000090,/real/bbc_test_500/bbc_test_90.png,VisualNews,VisualNews,original,True,0
91,train_000091,/real/bbc_test_500/bbc_test_91.png,VisualNews,VisualNews,original,True,0
92,train_000092,/real/bbc_test_500/bbc_test_92.png,VisualNews,VisualNews,original,True,0
93,train_000093,/real/bbc_test_500/bbc_test_93.png,VisualNews,VisualNews,original,True,0
94,train_000094,/real/bbc_test_500/bbc_test_94.png,VisualNews,VisualNews,original,True,0
95,train_000095,/real/bbc_test_500/bbc_test_95.png,VisualNews,VisualNews,original,True,0
96,train_000096,/real/bbc_test_500/bbc_test_96.png,VisualNews,VisualNews,original,True,0
97,train_000097,/real/bbc_test_500/bbc_test_97.png,VisualNews,VisualNews,original,True,0
98,train_000098,/real/bbc_test_500/bbc_test_98.png,VisualNews,VisualNews,original,True,0
99,train_000099,/real/bbc_test_500/bbc_test_99.png,VisualNews,VisualNews,original,True,0
100,train_000100,/real/bbc_test_500/bbc_test_100.png,VisualNews,VisualNews,original,True,0
101,train_000101,/real/bbc_test_500/bbc_test_101.png,VisualNews,VisualNews,original,True,0
102,train_000102,/real/bbc_test_500/bbc_test_102.png,VisualNews,VisualNews,original,True,0
103,train_000103,/real/bbc_test_500/bbc_test_103.png,VisualNews,VisualNews,original,True,0
104,train_000104,/real/bbc_test_500/bbc_test_104.png,VisualNews,VisualNews,original,True,0
105,train_000105,/real/bbc_test_500/bbc_test_105.png,VisualNews,VisualNews,original,True,0
106,train_000106,/real/bbc_test_500/bbc_test_106.png,VisualNews,VisualNews,original,True,0
107,train_000107,/real/bbc_test_500/bbc_test_107.png,VisualNews,VisualNews,original,True,0
108,train_000108,/real/bbc_test_500/bbc_test_108.png,VisualNews,VisualNews,original,True,0
109,train_000109,/real/bbc_test_500/bbc_test_109.png,VisualNews,VisualNews,original,True,0
110,train_000110,/real/bbc_test_500/bbc_test_110.png,VisualNews,VisualNews,original,True,0
111,train_000111,/real/bbc_test_500/bbc_test_111.png,VisualNews,VisualNews,original,True,0
112,train_000112,/real/bbc_test_500/bbc_test_112.png,VisualNews,VisualNews,original,True,0
113,train_000113,/real/bbc_test_500/bbc_test_113.png,VisualNews,VisualNews,original,True,0
114,train_000114,/real/bbc_test_500/bbc_test_114.png,VisualNews,VisualNews,original,True,0
115,train_000115,/real/bbc_test_500/bbc_test_115.png,VisualNews,VisualNews,original,True,0
116,train_000116,/real/bbc_test_500/bbc_test_116.png,VisualNews,VisualNews,original,True,0
117,train_000117,/real/bbc_test_500/bbc_test_117.png,VisualNews,VisualNews,original,True,0
118,train_000118,/real/bbc_test_500/bbc_test_118.png,VisualNews,VisualNews,original,True,0
119,train_000119,/real/bbc_test_500/bbc_test_119.png,VisualNews,VisualNews,original,True,0
120,train_000120,/real/bbc_test_500/bbc_test_120.png,VisualNews,VisualNews,original,True,0
121,train_000121,/real/bbc_test_500/bbc_test_121.png,VisualNews,VisualNews,original,True,0
122,train_000122,/real/bbc_test_500/bbc_test_122.png,VisualNews,VisualNews,original,True,0
123,train_000123,/real/bbc_test_500/bbc_test_123.png,VisualNews,VisualNews,original,True,0
124,train_000124,/real/bbc_test_500/bbc_test_124.png,VisualNews,VisualNews,original,True,0
125,train_000125,/real/bbc_test_500/bbc_test_125.png,VisualNews,VisualNews,original,True,0
126,train_000126,/real/bbc_test_500/bbc_test_126.png,VisualNews,VisualNews,original,True,0
127,train_000127,/real/bbc_test_500/bbc_test_127.png,VisualNews,VisualNews,original,True,0
128,train_000128,/real/bbc_test_500/bbc_test_128.png,VisualNews,VisualNews,original,True,0
129,train_000129,/real/bbc_test_500/bbc_test_129.png,VisualNews,VisualNews,original,True,0
130,train_000130,/real/bbc_test_500/bbc_test_130.png,VisualNews,VisualNews,original,True,0
131,train_000131,/real/bbc_test_500/bbc_test_131.png,VisualNews,VisualNews,original,True,0
132,train_000132,/real/bbc_test_500/bbc_test_132.png,VisualNews,VisualNews,original,True,0
133,train_000133,/real/bbc_test_500/bbc_test_133.png,VisualNews,VisualNews,original,True,0
134,train_000134,/real/bbc_test_500/bbc_test_134.png,VisualNews,VisualNews,original,True,0
135,train_000135,/real/bbc_test_500/bbc_test_135.png,VisualNews,VisualNews,original,True,0
136,train_000136,/real/bbc_test_500/bbc_test_136.png,VisualNews,VisualNews,original,True,0
137,train_000137,/real/bbc_test_500/bbc_test_137.png,VisualNews,VisualNews,original,True,0
138,train_000138,/real/bbc_test_500/bbc_test_138.png,VisualNews,VisualNews,original,True,0
139,train_000139,/real/bbc_test_500/bbc_test_139.png,VisualNews,VisualNews,original,True,0
140,train_000140,/real/bbc_test_500/bbc_test_140.png,VisualNews,VisualNews,original,True,0
141,train_000141,/real/bbc_test_500/bbc_test_141.png,VisualNews,VisualNews,original,True,0
142,train_000142,/real/bbc_test_500/bbc_test_142.png,VisualNews,VisualNews,original,True,0
143,train_000143,/real/bbc_test_500/bbc_test_143.png,VisualNews,VisualNews,original,True,0
144,train_000144,/real/bbc_test_500/bbc_test_144.png,VisualNews,VisualNews,original,True,0
145,train_000145,/real/bbc_test_500/bbc_test_145.png,VisualNews,VisualNews,original,True,0
146,train_000146,/real/bbc_test_500/bbc_test_146.png,VisualNews,VisualNews,original,True,0
147,train_000147,/real/bbc_test_500/bbc_test_147.png,VisualNews,VisualNews,original,True,0
148,train_000148,/real/bbc_test_500/bbc_test_148.png,VisualNews,VisualNews,original,True,0
149,train_000149,/real/bbc_test_500/bbc_test_149.png,VisualNews,VisualNews,original,True,0
150,train_000150,/real/bbc_test_500/bbc_test_150.png,VisualNews,VisualNews,original,True,0
151,train_000151,/real/bbc_test_500/bbc_test_151.png,VisualNews,VisualNews,original,True,0
152,train_000152,/real/bbc_test_500/bbc_test_152.png,VisualNews,VisualNews,original,True,0
153,train_000153,/real/bbc_test_500/bbc_test_153.png,VisualNews,VisualNews,original,True,0
154,train_000154,/real/bbc_test_500/bbc_test_154.png,VisualNews,VisualNews,original,True,0
155,train_000155,/real/bbc_test_500/bbc_test_155.png,VisualNews,VisualNews,original,True,0
156,train_000156,/real/bbc_test_500/bbc_test_156.png,VisualNews,VisualNews,original,True,0
157,train_000157,/real/bbc_test_500/bbc_test_157.png,VisualNews,VisualNews,original,True,0
158,train_000158,/real/bbc_test_500/bbc_test_158.png,VisualNews,VisualNews,original,True,0
159,train_000159,/real/bbc_test_500/bbc_test_159.png,VisualNews,VisualNews,original,True,0
160,train_000160,/real/bbc_test_500/bbc_test_160.png,VisualNews,VisualNews,original,True,0
161,train_000161,/real/bbc_test_500/bbc_test_161.png,VisualNews,VisualNews,original,True,0
162,train_000162,/real/bbc_test_500/bbc_test_162.png,VisualNews,VisualNews,original,True,0
163,train_000163,/real/bbc_test_500/bbc_test_163.png,VisualNews,VisualNews,original,True,0
164,train_000164,/real/bbc_test_500/bbc_test_164.png,VisualNews,VisualNews,original,True,0
165,train_000165,/real/bbc_test_500/bbc_test_165.png,VisualNews,VisualNews,original,True,0
166,train_000166,/real/bbc_test_500/bbc_test_166.png,VisualNews,VisualNews,original,True,0
167,train_000167,/real/bbc_test_500/bbc_test_167.png,VisualNews,VisualNews,original,True,0
168,train_000168,/real/bbc_test_500/bbc_test_168.png,VisualNews,VisualNews,original,True,0
169,train_000169,/real/bbc_test_500/bbc_test_169.png,VisualNews,VisualNews,original,True,0
170,train_000170,/real/bbc_test_500/bbc_test_170.png,VisualNews,VisualNews,original,True,0
171,train_000171,/real/bbc_test_500/bbc_test_171.png,VisualNews,VisualNews,original,True,0
172,train_000172,/real/bbc_test_500/bbc_test_172.png,VisualNews,VisualNews,original,True,0
173,train_000173,/real/bbc_test_500/bbc_test_173.png,VisualNews,VisualNews,original,True,0
174,train_000174,/real/bbc_test_500/bbc_test_174.png,VisualNews,VisualNews,original,True,0
175,train_000175,/real/bbc_test_500/bbc_test_175.png,VisualNews,VisualNews,original,True,0
176,train_000176,/real/bbc_test_500/bbc_test_176.png,VisualNews,VisualNews,original,True,0
177,train_000177,/real/bbc_test_500/bbc_test_177.png,VisualNews,VisualNews,original,True,0
178,train_000178,/real/bbc_test_500/bbc_test_178.png,VisualNews,VisualNews,original,True,0
179,train_000179,/real/bbc_test_500/bbc_test_179.png,VisualNews,VisualNews,original,True,0
180,train_000180,/real/bbc_test_500/bbc_test_180.png,VisualNews,VisualNews,original,True,0
181,train_000181,/real/bbc_test_500/bbc_test_181.png,VisualNews,VisualNews,original,True,0
182,train_000182,/real/bbc_test_500/bbc_test_182.png,VisualNews,VisualNews,original,True,0
183,train_000183,/real/bbc_test_500/bbc_test_183.png,VisualNews,VisualNews,original,True,0
184,train_000184,/real/bbc_test_500/bbc_test_184.png,VisualNews,VisualNews,original,True,0
185,train_000185,/real/bbc_test_500/bbc_test_185.png,VisualNews,VisualNews,original,True,0
186,train_000186,/real/bbc_test_500/bbc_test_186.png,VisualNews,VisualNews,original,True,0
187,train_000187,/real/bbc_test_500/bbc_test_187.png,VisualNews,VisualNews,original,True,0
188,train_000188,/real/bbc_test_500/bbc_test_188.png,VisualNews,VisualNews,original,True,0
189,train_000189,/real/bbc_test_500/bbc_test_189.png,VisualNews,VisualNews,original,True,0
190,train_000190,/real/bbc_test_500/bbc_test_190.png,VisualNews,VisualNews,original,True,0
191,train_000191,/real/bbc_test_500/bbc_test_191.png,VisualNews,VisualNews,original,True,0
192,train_000192,/real/bbc_test_500/bbc_test_192.png,VisualNews,VisualNews,original,True,0
193,train_000193,/real/bbc_test_500/bbc_test_193.png,VisualNews,VisualNews,original,True,0
194,train_000194,/real/bbc_test_500/bbc_test_194.png,VisualNews,VisualNews,original,True,0
195,train_000195,/real/bbc_test_500/bbc_test_195.png,VisualNews,VisualNews,original,True,0
196,train_000196,/real/bbc_test_500/bbc_test_196.png,VisualNews,VisualNews,original,True,0
197,train_000197,/real/bbc_test_500/bbc_test_197.png,VisualNews,VisualNews,original,True,0
198,train_000198,/real/bbc_test_500/bbc_test_198.png,VisualNews,VisualNews,original,True,0
199,train_000199,/real/bbc_test_500/bbc_test_199.png,VisualNews,VisualNews,original,True,0
200,train_000200,/real/bbc_test_500/bbc_test_200.png,VisualNews,VisualNews,original,True,0
201,train_000201,/real/bbc_test_500/bbc_test_201.png,VisualNews,VisualNews,original,True,0
202,train_000202,/real/bbc_test_500/bbc_test_202.png,VisualNews,VisualNews,original,True,0
203,train_000203,/real/bbc_test_500/bbc_test_203.png,VisualNews,VisualNews,original,True,0
204,train_000204,/real/bbc_test_500/bbc_test_204.png,VisualNews,VisualNews,original,True,0
205,train_000205,/real/bbc_test_500/bbc_test_205.png,VisualNews,VisualNews,original,True,0
206,train_000206,/real/bbc_test_500/bbc_test_206.png,VisualNews,VisualNews,original,True,0
207,train_000207,/real/bbc_test_500/bbc_test_207.png,VisualNews,VisualNews,original,True,0
208,train_000208,/real/bbc_test_500/bbc_test_208.png,VisualNews,VisualNews,original,True,0
209,train_000209,/real/bbc_test_500/bbc_test_209.png,VisualNews,VisualNews,original,True,0
210,train_000210,/real/bbc_test_500/bbc_test_210.png,VisualNews,VisualNews,original,True,0
211,train_000211,/real/bbc_test_500/bbc_test_211.png,VisualNews,VisualNews,original,True,0
212,train_000212,/real/bbc_test_500/bbc_test_212.png,VisualNews,VisualNews,original,True,0
213,train_000213,/real/bbc_test_500/bbc_test_213.png,VisualNews,VisualNews,original,True,0
214,train_000214,/real/bbc_test_500/bbc_test_214.png,VisualNews,VisualNews,original,True,0
215,train_000215,/real/bbc_test_500/bbc_test_215.png,VisualNews,VisualNews,original,True,0
216,train_000216,/real/bbc_test_500/bbc_test_216.png,VisualNews,VisualNews,original,True,0
217,train_000217,/real/bbc_test_500/bbc_test_217.png,VisualNews,VisualNews,original,True,0
218,train_000218,/real/bbc_test_500/bbc_test_218.png,VisualNews,VisualNews,original,True,0
219,train_000219,/real/bbc_test_500/bbc_test_219.png,VisualNews,VisualNews,original,True,0
220,train_000220,/real/bbc_test_500/bbc_test_220.png,VisualNews,VisualNews,original,True,0
221,train_000221,/real/bbc_test_500/bbc_test_221.png,VisualNews,VisualNews,original,True,0
222,train_000222,/real/bbc_test_500/bbc_test_222.png,VisualNews,VisualNews,original,True,0
223,train_000223,/real/bbc_test_500/bbc_test_223.png,VisualNews,VisualNews,original,True,0
224,train_000224,/real/bbc_test_500/bbc_test_224.png,VisualNews,VisualNews,original,True,0
225,train_000225,/real/bbc_test_500/bbc_test_225.png,VisualNews,VisualNews,original,True,0
226,train_000226,/real/bbc_test_500/bbc_test_226.png,VisualNews,VisualNews,original,True,0
227,train_000227,/real/bbc_test_500/bbc_test_227.png,VisualNews,VisualNews,original,True,0
228,train_000228,/real/bbc_test_500/bbc_test_228.png,VisualNews,VisualNews,original,True,0
229,train_000229,/real/bbc_test_500/bbc_test_229.png,VisualNews,VisualNews,original,True,0
230,train_000230,/real/bbc_test_500/bbc_test_230.png,VisualNews,VisualNews,original,True,0
231,train_000231,/real/bbc_test_500/bbc_test_231.png,VisualNews,VisualNews,original,True,0
232,train_000232,/real/bbc_test_500/bbc_test_232.png,VisualNews,VisualNews,original,True,0
233,train_000233,/real/bbc_test_500/bbc_test_233.png,VisualNews,VisualNews,original,True,0
234,train_000234,/real/bbc_test_500/bbc_test_234.png,VisualNews,VisualNews,original,True,0
235,train_000235,/real/bbc_test_500/bbc_test_235.png,VisualNews,VisualNews,original,True,0
236,train_000236,/real/bbc_test_500/bbc_test_236.png,VisualNews,VisualNews,original,True,0
237,train_000237,/real/bbc_test_500/bbc_test_237.png,VisualNews,VisualNews,original,True,0
238,train_000238,/real/bbc_test_500/bbc_test_238.png,VisualNews,VisualNews,original,True,0
239,train_000239,/real/bbc_test_500/bbc_test_239.png,VisualNews,VisualNews,original,True,0
240,train_000240,/real/bbc_test_500/bbc_test_240.png,VisualNews,VisualNews,original,True,0
241,train_000241,/real/bbc_test_500/bbc_test_241.png,VisualNews,VisualNews,original,True,0
242,train_000242,/real/bbc_test_500/bbc_test_242.png,VisualNews,VisualNews,original,True,0
243,train_000243,/real/bbc_test_500/bbc_test_243.png,VisualNews,VisualNews,original,True,0
244,train_000244,/real/bbc_test_500/bbc_test_244.png,VisualNews,VisualNews,original,True,0
245,train_000245,/real/bbc_test_500/bbc_test_245.png,VisualNews,VisualNews,original,True,0
246,train_000246,/real/bbc_test_500/bbc_test_246.png,VisualNews,VisualNews,original,True,0
247,train_000247,/real/bbc_test_500/bbc_test_247.png,VisualNews,VisualNews,original,True,0
248,train_000248,/real/bbc_test_500/bbc_test_248.png,VisualNews,VisualNews,original,True,0
249,train_000249,/real/bbc_test_500/bbc_test_249.png,VisualNews,VisualNews,original,True,0
250,train_000250,/real/bbc_test_500/bbc_test_250.png,VisualNews,VisualNews,original,True,0
251,train_000251,/real/bbc_test_500/bbc_test_251.png,VisualNews,VisualNews,original,True,0
252,train_000252,/real/bbc_test_500/bbc_test_252.png,VisualNews,VisualNews,original,True,0
253,train_000253,/real/bbc_test_500/bbc_test_253.png,VisualNews,VisualNews,original,True,0
254,train_000254,/real/bbc_test_500/bbc_test_254.png,VisualNews,VisualNews,original,True,0
255,train_000255,/real/bbc_test_500/bbc_test_255.png,VisualNews,VisualNews,original,True,0
256,train_000256,/real/bbc_test_500/bbc_test_256.png,VisualNews,VisualNews,original,True,0
257,train_000257,/real/bbc_test_500/bbc_test_257.png,VisualNews,VisualNews,original,True,0
258,train_000258,/real/bbc_test_500/bbc_test_258.png,VisualNews,VisualNews,original,True,0
259,train_000259,/real/bbc_test_500/bbc_test_259.png,VisualNews,VisualNews,original,True,0
260,train_000260,/real/bbc_test_500/bbc_test_260.png,VisualNews,VisualNews,original,True,0
261,train_000261,/real/bbc_test_500/bbc_test_261.png,VisualNews,VisualNews,original,True,0
262,train_000262,/real/bbc_test_500/bbc_test_262.png,VisualNews,VisualNews,original,True,0
263,train_000263,/real/bbc_test_500/bbc_test_263.png,VisualNews,VisualNews,original,True,0
264,train_000264,/real/bbc_test_500/bbc_test_264.png,VisualNews,VisualNews,original,True,0
265,train_000265,/real/bbc_test_500/bbc_test_265.png,VisualNews,VisualNews,original,True,0
266,train_000266,/real/bbc_test_500/bbc_test_266.png,VisualNews,VisualNews,original,True,0
267,train_000267,/real/bbc_test_500/bbc_test_267.png,VisualNews,VisualNews,original,True,0
268,train_000268,/real/bbc_test_500/bbc_test_268.png,VisualNews,VisualNews,original,True,0
269,train_000269,/real/bbc_test_500/bbc_test_269.png,VisualNews,VisualNews,original,True,0
270,train_000270,/real/bbc_test_500/bbc_test_270.png,VisualNews,VisualNews,original,True,0
271,train_000271,/real/bbc_test_500/bbc_test_271.png,VisualNews,VisualNews,original,True,0
272,train_000272,/real/bbc_test_500/bbc_test_272.png,VisualNews,VisualNews,original,True,0
273,train_000273,/real/bbc_test_500/bbc_test_273.png,VisualNews,VisualNews,original,True,0
274,train_000274,/real/bbc_test_500/bbc_test_274.png,VisualNews,VisualNews,original,True,0
275,train_000275,/real/bbc_test_500/bbc_test_275.png,VisualNews,VisualNews,original,True,0
276,train_000276,/real/bbc_test_500/bbc_test_276.png,VisualNews,VisualNews,original,True,0
277,train_000277,/real/bbc_test_500/bbc_test_277.png,VisualNews,VisualNews,original,True,0
278,train_000278,/real/bbc_test_500/bbc_test_278.png,VisualNews,VisualNews,original,True,0
279,train_000279,/real/bbc_test_500/bbc_test_279.png,VisualNews,VisualNews,original,True,0
280,train_000280,/real/bbc_test_500/bbc_test_280.png,VisualNews,VisualNews,original,True,0
281,train_000281,/real/bbc_test_500/bbc_test_281.png,VisualNews,VisualNews,original,True,0
282,train_000282,/real/bbc_test_500/bbc_test_282.png,VisualNews,VisualNews,original,True,0
283,train_000283,/real/bbc_test_500/bbc_test_283.png,VisualNews,VisualNews,original,True,0
284,train_000284,/real/bbc_test_500/bbc_test_284.png,VisualNews,VisualNews,original,True,0
285,train_000285,/real/bbc_test_500/bbc_test_285.png,VisualNews,VisualNews,original,True,0
286,train_000286,/real/bbc_test_500/bbc_test_286.png,VisualNews,VisualNews,original,True,0
287,train_000287,/real/bbc_test_500/bbc_test_287.png,VisualNews,VisualNews,original,True,0
288,train_000288,/real/bbc_test_500/bbc_test_288.png,VisualNews,VisualNews,original,True,0
289,train_000289,/real/bbc_test_500/bbc_test_289.png,VisualNews,VisualNews,original,True,0
290,train_000290,/real/bbc_test_500/bbc_test_290.png,VisualNews,VisualNews,original,True,0
291,train_000291,/real/bbc_test_500/bbc_test_291.png,VisualNews,VisualNews,original,True,0
292,train_000292,/real/bbc_test_500/bbc_test_292.png,VisualNews,VisualNews,original,True,0
293,train_000293,/real/bbc_test_500/bbc_test_293.png,VisualNews,VisualNews,original,True,0
294,train_000294,/real/bbc_test_500/bbc_test_294.png,VisualNews,VisualNews,original,True,0
295,train_000295,/real/bbc_test_500/bbc_test_295.png,VisualNews,VisualNews,original,True,0
296,train_000296,/real/bbc_test_500/bbc_test_296.png,VisualNews,VisualNews,original,True,0
297,train_000297,/real/bbc_test_500/bbc_test_297.png,VisualNews,VisualNews,original,True,0
298,train_000298,/real/bbc_test_500/bbc_test_298.png,VisualNews,VisualNews,original,True,0
299,train_000299,/real/bbc_test_500/bbc_test_299.png,VisualNews,VisualNews,original,True,0
300,train_000300,/real/bbc_test_500/bbc_test_300.png,VisualNews,VisualNews,original,True,0
301,train_000301,/real/bbc_test_500/bbc_test_301.png,VisualNews,VisualNews,original,True,0
