sample_idx,fake_cls,label,prediction,correct,dominant_token,attn_img,attn_txt,attn_cross,attn_diff,attn_scalars,aitr_prob,clip_prob,ateeq_score,deberta_score
91,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.508,0.0001,0.4579,0.0028
92,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.183,0.694,0.0793,0.6669,0.5
93,original,0,1,0,scalars,0.1638,0.1615,0.1635,0.1618,0.1831,0.7554,0.0,0.9745,0.0051
94,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1827,0.4447,0.0018,0.3407,0.9547
95,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.2803,0.0001,0.0785,0.0028
96,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1825,0.4083,0.0737,0.1806,0.0005
97,original,0,0,1,scalars,0.164,0.1616,0.1637,0.162,0.1823,0.2976,0.0004,0.0916,0.0003
98,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.9465,0.9997,0.7646,0.0558
99,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1825,0.5788,0.3327,0.1524,0.5
100,original,0,0,1,scalars,0.1638,0.1617,0.1636,0.1617,0.1828,0.5091,0.0067,0.4305,0.5
101,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3638,0.0153,0.2181,0.0038
102,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.3069,0.0015,0.1149,0.022
103,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1825,0.4004,0.0474,0.2049,0.0011
104,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.3116,0.0001,0.124,0.5963
105,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.5251,0.0015,0.4524,0.5
106,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.6511,0.0005,0.7108,0.0005
107,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4304,0.0537,0.2592,0.5
108,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4014,0.0009,0.2902,0.0023
109,original,0,0,1,scalars,0.164,0.1617,0.1637,0.162,0.1822,0.2785,0.0032,0.0211,0.0051
110,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1826,0.459,0.0157,0.3373,0.5
111,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5728,0.0215,0.5152,0.0024
112,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.183,0.9414,0.9626,0.6957,0.0103
113,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3896,0.001,0.2388,0.5
114,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.9285,0.9922,0.56,0.5
115,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1619,0.1825,0.8486,0.8906,0.0593,0.0096
116,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.6164,0.0873,0.5237,0.0125
117,original,0,1,0,scalars,0.1638,0.1615,0.1635,0.1618,0.1831,0.7677,0.0,0.9692,0.5
118,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.3873,0.0001,0.2729,0.0052
119,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5343,0.0016,0.4988,0.5
120,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.42,0.0034,0.2842,0.5
121,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.6413,0.0,0.706,0.5
122,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1823,0.3289,0.0443,0.038,0.0016
123,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1825,0.3071,0.0002,0.1322,0.0002
124,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1618,0.1826,0.4009,0.0029,0.2854,0.0035
125,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1826,0.3894,0.0,0.2562,0.0043
126,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3519,0.0044,0.1815,0.5
127,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1823,0.3004,0.0011,0.0578,0.0058
128,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1828,0.499,0.0003,0.4224,0.5
129,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.3872,0.0056,0.2391,0.5
130,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.183,0.9401,0.985,0.7089,0.5
131,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.5632,0.0285,0.5065,0.0351
132,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1618,0.1823,0.3785,0.0785,0.0959,0.5
133,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.3499,0.0,0.2265,0.1282
134,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1824,0.3425,0.03,0.1336,0.0116
135,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1825,0.3351,0.0042,0.1868,0.0067
136,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3312,0.0024,0.1641,0.0005
137,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1617,0.1826,0.5553,0.1648,0.2808,0.5
138,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5466,0.0005,0.5106,0.5
139,original,0,1,0,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.8903,0.9909,0.209,0.5
140,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1827,0.4688,0.0055,0.3774,0.5
141,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1618,0.1826,0.3797,0.0,0.2407,0.0025
142,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4055,0.0114,0.2666,0.0003
143,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.8671,0.9332,0.1768,0.0038
144,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.6779,0.0207,0.7135,0.0008
145,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3577,0.0001,0.228,0.0024
146,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1826,0.4306,0.0079,0.3225,0.0001
147,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.9191,0.9729,0.4959,0.5
148,original,0,0,1,scalars,0.1638,0.1617,0.1637,0.1618,0.1827,0.4684,0.0278,0.3201,0.3585
149,original,0,0,1,scalars,0.1638,0.1616,0.1637,0.1618,0.1827,0.4893,0.1082,0.2946,0.5
150,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.363,0.0112,0.1487,0.0003
151,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1822,0.2826,0.0038,0.0103,0.5
152,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.162,0.1822,0.2941,0.0072,0.0364,0.0002
153,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3047,0.0,0.1113,0.5
154,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4719,0.1062,0.2597,0.0004
155,original,0,1,0,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.8899,0.9971,0.1788,0.0006
156,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1826,0.4596,0.0474,0.2972,0.004
157,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1824,0.3271,0.0015,0.1219,0.0015
158,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3266,0.0007,0.1349,0.0172
159,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.5257,0.0002,0.4907,0.0
160,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1825,0.386,0.0021,0.2298,0.0045
161,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.336,0.0077,0.1718,0.0025
162,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.4039,0.0003,0.2712,0.0001
163,original,0,0,1,scalars,0.164,0.1618,0.1637,0.1618,0.1822,0.3012,0.025,0.0007,0.5
164,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1825,0.3489,0.0012,0.1822,0.5
165,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3613,0.0014,0.2064,0.5
166,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7173,0.0012,0.8313,0.5
167,original,0,1,0,scalars,0.1638,0.1617,0.1636,0.1617,0.1829,0.6896,0.1031,0.5859,0.0075
168,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.8851,0.9971,0.1326,0.5
169,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1827,0.4704,0.0003,0.3957,0.0002
170,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1827,0.4849,0.0047,0.3988,0.0008
171,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3759,0.0053,0.2122,0.0008
172,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1823,0.434,0.1839,0.0477,0.5
173,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.9277,0.8126,0.7277,0.021
174,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1828,0.5231,0.0049,0.484,0.9442
175,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.5289,0.0006,0.4612,0.5
176,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1832,0.866,0.3065,0.892,0.0365
177,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.5274,0.2672,0.1609,0.2832
178,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3061,0.0002,0.0951,0.5
179,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7287,0.0002,0.9187,0.5
180,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1827,0.4616,0.0,0.3805,0.5
181,original,0,0,1,scalars,0.1639,0.1618,0.1637,0.1618,0.1825,0.4258,0.0939,0.169,0.5
182,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1826,0.4182,0.0011,0.314,0.0002
183,original,0,1,0,scalars,0.1639,0.1615,0.1635,0.1618,0.183,0.7253,0.0005,0.8434,0.0009
184,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.6346,0.0007,0.6547,0.0004
185,original,0,1,0,scalars,0.1639,0.1616,0.1637,0.1618,0.1827,0.6055,0.2684,0.2596,0.5
186,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.4015,0.0171,0.2582,0.0042
187,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.3784,0.037,0.1424,0.5
188,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.3881,0.0009,0.26,0.9802
189,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.4453,0.055,0.2577,0.0001
190,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.7283,0.0353,0.7849,0.0001
191,original,0,0,1,scalars,0.1638,0.1617,0.1636,0.1617,0.1828,0.5021,0.0062,0.4478,0.0011
192,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1823,0.2929,0.0051,0.0224,0.0006
193,original,0,1,0,scalars,0.1639,0.1617,0.1636,0.1617,0.1829,0.6765,0.1077,0.5732,0.5
194,original,0,0,1,scalars,0.1639,0.1618,0.1637,0.1618,0.1825,0.3906,0.0337,0.1908,0.002
195,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.7997,0.6704,0.1565,0.5
196,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7619,0.0418,0.8906,0.0223
197,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1617,0.1827,0.879,0.898,0.2071,0.0052
198,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1826,0.4553,0.011,0.328,0.1
199,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1823,0.2767,0.0003,0.0487,0.0012
200,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.6977,0.0006,0.7694,0.5
201,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.1831,0.7645,0.1225,0.8046,0.5
202,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7238,0.0004,0.8378,0.5
203,original,0,1,0,scalars,0.1639,0.1616,0.1636,0.1619,0.1827,0.6695,0.3482,0.3083,0.5
204,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.9145,0.7132,0.7538,0.5
205,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5933,0.0,0.6001,0.5
206,original,0,1,0,scalars,0.1638,0.1617,0.1636,0.1617,0.1829,0.6631,0.0051,0.6871,0.5
207,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.183,0.744,0.0948,0.7526,0.5
208,original,0,1,0,scalars,0.1638,0.1617,0.1636,0.1617,0.1828,0.6535,0.1729,0.4575,0.5
209,original,0,1,0,scalars,0.1638,0.1615,0.1635,0.1618,0.1831,0.9389,0.9457,0.8282,0.9785
210,original,0,1,0,scalars,0.1639,0.1616,0.1637,0.1618,0.1827,0.8806,0.9167,0.2208,0.5
211,original,0,1,0,scalars,0.1638,0.1617,0.1636,0.1617,0.1828,0.8822,0.768,0.386,0.5
212,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3888,0.0075,0.2249,0.0218
213,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7734,0.0031,0.9401,0.4565
214,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.875,0.6157,0.5226,0.5
215,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1617,0.1828,0.5562,0.0039,0.5021,0.5
216,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7578,0.017,0.8912,0.0759
217,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.8933,0.6268,0.6476,0.188
218,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.9251,0.9236,0.6025,0.5
219,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.6738,0.0016,0.7228,0.5
220,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.183,0.6635,0.001,0.707,0.5
221,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1617,0.1826,0.6013,0.2235,0.2765,0.0114
222,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.183,0.7305,0.0772,0.738,0.5
223,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1825,0.3662,0.0083,0.1944,0.5
224,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.1828,0.7363,0.3344,0.4222,0.5
225,original,0,1,0,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.9077,0.953,0.3993,0.0599
226,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5849,0.001,0.5696,0.0085
227,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.7229,0.0939,0.7019,0.5
228,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7621,0.0347,0.8778,0.5
229,original,0,1,0,scalars,0.1638,0.1616,0.1635,0.1617,0.1831,0.9222,0.6517,0.8669,0.9903
230,original,0,1,0,scalars,0.1639,0.1616,0.1636,0.1618,0.183,0.7116,0.0473,0.7141,0.0066
231,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.5942,0.0574,0.498,0.9886
232,original,0,1,0,scalars,0.1639,0.1616,0.1636,0.1618,0.1829,0.9344,0.9896,0.5982,0.5
233,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7572,0.0104,0.9198,0.0026
234,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.528,0.0006,0.4768,0.5
235,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1616,0.1831,0.938,0.9534,0.7818,0.9814
236,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.672,0.0054,0.6966,0.5
237,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.5442,0.1569,0.2837,0.5
