sample_id,deberta_score,entity_count,has_evidence
train_000118,0.5,1,0
train_000119,0.5,1,0
train_000120,0.00031957257,2,1
train_000121,0.0065024514,1,1
train_000122,8.1335784e-05,1,1
train_000123,0.00282898,2,1
train_000124,0.5,3,0
train_000125,8.463857e-05,1,1
train_000126,7.336147e-05,2,1
train_000127,0.22259487,3,1
train_000128,0.0003579416,1,1
train_000129,0.0004948569,2,1
train_000130,0.5,1,0
train_000131,0.5,1,0
train_000132,0.5,3,0
train_000133,0.5,1,0
train_000134,0.0045430297,1,1
train_000135,0.0013672754,2,1
train_000136,0.18042533,2,1
train_000137,0.5,4,0
train_000138,0.5,1,0
train_000139,0.5,4,0
train_000140,0.0030370732,2,1
train_000141,0.00015646263,2,1
train_000142,0.0023889672,2,1
train_000143,0.5,4,0
train_000144,0.003985315,2,1
train_000145,0.0035903726,1,1
train_000146,0.007796157,2,1
train_000147,0.00019588701,2,1
train_000148,0.5,1,0
train_000149,0.00017369114,1,1
train_000150,0.017192835,3,1
train_000151,0.5,2,0
train_000152,0.0023750241,3,1
train_000153,0.5,2,0
train_000154,0.5,1,0
train_000155,0.00047089078,2,1
train_000156,0.13066882,4,1
train_000157,0.5,1,0
train_000158,0.5,4,0
train_000159,0.101778775,3,1
train_000160,0.06512246,2,1
train_000161,0.5,1,0
train_000162,0.5,4,0
train_000163,0.04003928,1,1
train_000164,0.5,2,0
train_000165,0.00032344076,1,1
train_000166,0.002238866,2,1
train_000167,0.5,4,0
train_000168,6.091364e-05,2,1
train_000169,0.00058033917,2,1
train_000170,0.0010336903,2,1
train_000171,0.5,2,0
train_000172,0.5,1,0
train_000173,0.5,1,0
train_000174,0.0009222486,2,1
train_000175,0.5,1,0
train_000176,0.9814315,4,1
train_000177,0.5,1,0
train_000178,0.00011459649,2,1
train_000179,0.033906274,3,1
train_000180,0.1621402,3,1
train_000181,0.5,4,0
train_000182,0.5,2,0
train_000183,0.0011541198,3,1
train_000184,0.5,1,0
train_000185,0.09472881,1,1
train_000186,0.5,3,0
train_000187,0.5,1,0
train_000188,0.5,1,0
train_000189,0.5,3,0
train_000190,0.5,1,0
train_000191,0.05052407,4,1
train_000192,0.0004900494,1,1
train_000193,0.00044278827,2,1
train_000194,0.00019128487,2,1
train_000195,0.0019661123,2,1
train_000196,0.5,1,0
train_000197,0.5,2,0
train_000198,0.5,2,0
train_000199,0.0031001891,1,1
train_000200,0.0017345786,1,1
train_000201,0.5,2,0
train_000202,0.0005567964,3,1
train_000203,0.00070212653,1,1
train_000204,0.003185644,1,1
train_000205,0.00019805516,2,1
train_000206,0.011157811,2,1
train_000207,0.028229533,2,1
train_000208,0.0002210158,4,1
train_000209,0.5,1,0
train_000210,0.5,1,0
train_000211,0.5,4,0
train_000212,0.0014584541,3,1
train_000213,0.061194733,4,1
train_000214,0.5,1,0
train_000215,8.2539285e-05,1,1
train_000216,0.0006531194,2,1
train_000217,0.5,4,0
train_000218,0.5,3,0
train_000219,0.5,1,0
train_000220,0.00062227435,2,1
train_000221,0.5,3,0
train_000222,0.5,2,0
train_000223,0.5,2,0
train_000224,0.5,1,0
train_000225,0.5,1,0
train_000226,0.5,1,0
train_000227,0.5,4,0
train_000228,0.5,2,0
train_000229,0.0030283642,1,1
train_000230,0.00060188485,3,1
train_000231,0.5,3,0
train_000232,0.5,4,0
train_000233,0.007266765,2,1
train_000234,0.00055748457,3,1
train_000235,0.06462919,4,1
train_000236,0.0050473358,2,1
train_000237,0.00034121005,2,1
train_000238,0.5,4,0
train_000239,0.5,1,0
train_000240,0.037021194,2,1
train_000241,0.5,1,0
train_000242,0.27361667,1,1
train_000243,0.0047145383,3,1
train_000244,0.5,4,0
train_000245,0.005653759,1,1
train_000246,0.0008665625,3,1
train_000247,0.010227681,2,1
train_000248,0.5,3,0
train_000249,0.0145998495,1,1
train_000250,0.0018501367,2,1
train_000251,0.007284623,2,1
train_000252,0.5,1,0
train_000253,0.00016238385,3,1
train_000254,0.0001526326,1,1
train_000255,0.00012379649,1,1
train_000256,0.5,1,0
train_000257,0.00043544234,1,1
train_000258,4.8611375e-05,1,1
train_000259,0.5,2,0
train_000260,0.5,1,0
train_000261,0.0001743685,3,1
train_000262,0.033869892,1,1
train_000263,0.5,1,0
train_000264,0.0012868926,2,1
train_000265,0.026913399,2,1
train_000266,0.030769981,2,1
train_000267,0.5,1,0
train_000268,0.5,4,0
train_000269,0.000442392,3,1
train_000270,0.00987541,2,1
train_000271,0.002705208,2,1
train_000272,0.998028,2,1
train_000273,0.0055916472,3,1
train_000274,7.198949e-05,3,1
train_000275,0.00036822996,2,1
train_000276,0.5,4,0
train_000277,0.5,1,0
train_000278,2.1519263e-05,4,1
train_000279,0.0006305872,1,1
train_000280,0.029855395,4,1
train_000281,0.0018628148,1,1
train_000282,0.5,3,0
train_000283,0.5,4,0
train_000284,0.5,1,0
train_000285,3.0985433e-05,3,1
train_000286,0.00036845825,1,1
train_000287,0.0046174903,3,1
train_000288,0.00036254321,3,1
train_000289,0.00020858776,4,1
train_000290,0.5,1,0
train_000291,0.00012858739,2,1
train_000292,0.5,1,0
train_000293,0.5,2,0
train_000294,0.00556667,4,1
train_000295,0.5,1,0
train_000296,0.15008125,2,1
train_000297,0.5,4,0
train_000298,0.00045069354,4,1
train_000299,6.640688e-05,1,1
train_000300,0.00054269633,2,1
train_000301,0.0066057253,3,1
train_000302,0.041774802,4,1
train_000303,0.5,2,0
train_000304,0.005735101,4,1
train_000305,0.00029982429,2,1
train_000306,0.00016986519,2,1
train_000307,0.5,1,0
train_000308,0.00953699,1,1
train_000309,0.00030087781,2,1
train_000310,0.0005050581,1,1
train_000311,0.34877497,4,1
train_000312,0.00023507403,1,1
train_000313,0.056563407,3,1
train_000314,0.5,1,0
train_000315,0.5,4,0
train_000316,0.00029424872,2,1
train_000317,0.0007412492,3,1
train_000318,0.5,1,0
train_000319,0.5,2,0
train_000320,0.0021902395,3,1
train_000321,0.0038892888,3,1
train_000322,0.0057997317,1,1
train_000323,0.5,1,0
train_000324,0.5,1,0
train_000325,0.00021026228,1,1
train_000326,0.0010122482,4,1
train_000327,0.0035058383,3,1
train_000328,0.001275903,1,1
train_000329,0.24253505,2,1
train_000330,0.0006320619,2,1
train_000331,0.5,4,0
train_000332,0.5,1,0
train_000333,0.5,1,0
train_000334,0.4072496,2,1
train_000335,0.5,1,0
train_000336,0.00035982626,2,1
train_000337,0.5,4,0
train_000338,0.0023201627,3,1
train_000339,0.009133219,1,1
train_000340,0.013346095,2,1
train_000341,0.5,2,0
train_000342,0.5,3,0
train_000343,0.004601025,2,1
train_000344,0.0043969764,2,1
train_000345,0.5,2,0
train_000346,0.5,1,0
train_000347,0.010804742,1,1
train_000348,0.00052675686,2,1
train_000349,0.009781151,1,1
train_000350,0.1000078,3,1
train_000351,0.015719088,1,1
train_000352,0.00017474033,3,1
train_000353,0.00012149668,1,1
train_000354,0.005057813,2,1
train_000355,0.0010879698,2,1
train_000356,0.5,1,0
train_000357,0.5,2,0
train_000358,0.5,2,0
train_000359,0.5,2,0
train_000360,0.0066449186,3,1
train_000361,0.0099149775,3,1
train_000362,0.0018531611,2,1
train_000363,0.00039527917,1,1
train_000364,0.5,4,0
train_000365,0.0047832998,1,1
train_000366,0.5,3,0
train_000367,0.5,4,0
train_000368,0.01622834,3,1
train_000369,0.5,1,0
train_000370,5.8334754e-05,2,1
train_000371,0.00083742203,2,1
train_000372,0.0016146967,2,1
train_000373,0.5,2,0
train_000374,0.38942617,1,1
train_000375,0.0004635348,2,1
train_000376,0.004889246,3,1
train_000377,0.008879129,2,1
train_000378,0.00014115631,3,1
train_000379,0.5,1,0
train_000380,0.009827767,2,1
train_000381,6.783908e-05,1,1
train_000382,0.5,1,0
train_000383,0.06440571,1,1
train_000384,0.5,4,0
train_000385,0.0009152479,1,1
train_000386,0.5,1,0
train_000387,0.004019124,3,1
train_000388,0.5,1,0
train_000389,0.0166919,3,1
train_000390,2.9770708e-05,1,1
train_000391,0.0014990247,4,1
train_000392,0.9801246,4,1
train_000393,0.018114192,1,1
train_000394,0.007823882,2,1
train_000395,0.00048929214,1,1
train_000396,0.5,2,0
train_000397,0.0062255324,3,1
train_000398,0.5,3,0
train_000399,0.008977618,1,1
train_000400,0.5,4,0
train_000401,0.008808943,1,1
train_000402,0.5,4,0
train_000403,0.5,1,0
train_000404,0.5,1,0
train_000405,0.00012512642,1,1
train_000406,0.5,1,0
train_000407,0.5,4,0
train_000408,0.00012042143,2,1
train_000409,0.5,1,0
train_000410,0.20355833,1,1
train_000411,0.5,4,0
train_000412,6.8914596e-05,1,1
train_000413,0.019298522,4,1
train_000414,0.276205,4,1
train_000415,0.5,4,0
train_000416,0.00089081906,2,1
train_000417,0.5,3,0
train_000418,0.00054368103,1,1
train_000419,0.5,1,0
train_000420,0.98066187,3,1
train_000421,0.5,1,0
train_000422,0.0005949474,2,1
train_000423,0.5,3,0
train_000424,0.5,1,0
train_000425,0.5,3,0
train_000426,0.5,2,0
train_000427,0.5,4,0
train_000428,0.9819421,4,1
train_000429,0.0013280415,1,1
train_000430,0.5,1,0
train_000431,0.0007335511,1,1
train_000432,0.004204488,4,1
train_000433,0.0021739707,4,1
train_000434,0.5,1,0
train_000435,0.05274767,3,1
train_000436,0.5,2,0
train_000437,0.95885134,4,1
train_000438,6.178313e-05,2,1
train_000439,0.0002485465,1,1
train_000440,0.5,3,0
train_000441,0.00016654315,2,1
train_000442,0.5,3,0
train_000443,0.5,3,0
train_000444,0.0044429386,3,1
train_000445,0.5,1,0
train_000446,0.3371483,1,1
train_000447,0.000105035506,4,1
train_000448,0.5,1,0
train_000449,0.5,1,0
train_000450,0.5,3,0
train_000451,0.51337266,2,1
train_000452,0.00013367829,1,1
train_000453,0.029721338,1,1
train_000454,9.058047e-05,2,1
train_000455,0.5,1,0
train_000456,0.0010870032,2,1
train_000457,0.5,1,0
train_000458,0.00023265653,4,1
train_000459,0.5,2,0
train_000460,0.5,1,0
train_000461,0.00016286234,1,1
train_000462,0.008895881,3,1
train_000463,0.0062263953,2,1
train_000464,0.0019064932,4,1
train_000465,0.0029989386,4,1
train_000466,0.0023620878,4,1
train_000467,0.5,1,0
train_000468,0.5,1,0
train_000469,2.4023166e-05,2,1
train_000470,0.5,1,0
train_000471,0.5,1,0
train_000472,0.8470682,4,1
train_000473,0.5,1,0
train_000474,0.5,1,0
train_000475,0.007863713,4,1
train_000476,0.5,3,0
train_000477,0.5,4,0
train_000478,0.0016423966,1,1
train_000479,0.5,2,0
train_000480,0.5,1,0
train_000481,0.00020374032,1,1
train_000482,0.0002281438,3,1
train_000483,0.5,1,0
train_000484,0.07712497,1,1
train_000485,0.5,3,0
train_000486,0.04272218,3,1
train_000487,0.49737096,4,1
train_000488,0.0004410859,3,1
train_000489,0.0034728914,1,1
train_000490,0.020114424,1,1
train_000491,0.006701155,2,1
train_000492,0.0026408797,3,1
train_000493,0.0021107222,1,1
train_000494,0.5,1,0
train_000495,6.632828e-05,1,1
train_000496,0.0008547767,3,1
train_000497,0.5,1,0
train_000498,0.14491692,4,1
train_000499,0.00023920459,2,1
train_000500,0.0012469471,2,1
train_000501,0.5,2,0
train_000502,0.0007425411,4,1
train_000503,0.5,2,0
train_000504,0.15420637,1,1
train_000505,0.5,3,0
train_000506,0.00015567665,4,1
train_000507,0.9534414,4,1
train_000508,0.001726892,2,1
train_000509,0.5,1,0
train_000510,0.0017154576,2,1
train_000511,0.0006045839,3,1
train_000512,0.000380229,2,1
train_000513,0.5,4,0
train_000514,0.5,4,0
train_000515,6.0743525e-05,4,1
train_000516,0.00032368625,2,1
train_000517,0.061403003,4,1
train_000518,0.0056530507,4,1
train_000519,0.992415,3,1
train_000520,0.5,3,0
train_000521,0.0012382283,3,1
train_000522,0.7144006,3,1
train_000523,0.000631649,2,1
train_000524,0.004797186,3,1
train_000525,0.002214085,2,1
train_000526,0.5,2,0
train_000527,0.0062183887,2,1
train_000528,0.5,4,0
train_000529,0.00031684185,4,1
train_000530,6.7236346e-05,3,1
train_000531,0.5,1,0
train_000532,0.0006623405,4,1
train_000533,0.5,1,0
train_000534,0.044481155,4,1
train_000535,0.00016735027,2,1
train_000536,0.5,4,0
train_000537,0.5,1,0
train_000538,0.5,1,0
train_000539,0.5,2,0
train_000540,0.0012404259,2,1
train_000541,9.22539e-05,2,1
train_000542,0.5,2,0
train_000543,0.5,2,0
train_000544,0.5,4,0
train_000545,0.0009208292,4,1
train_000546,0.008259114,4,1
train_000547,0.8578857,2,1
train_000548,0.5,4,0
train_000549,0.07104496,4,1
train_000550,0.5,2,0
train_000551,0.5,4,0
train_000552,0.0006893472,2,1
train_000553,0.00019640995,2,1
train_000554,0.5,2,0
train_000555,0.009078666,3,1
train_000556,8.457859e-05,4,1
train_000557,0.0020846105,4,1
train_000558,0.01278579,3,1
train_000559,0.004190281,2,1
train_000560,0.5,1,0
train_000561,0.00033369573,2,1
train_000562,0.5,1,0
train_000563,0.0069252513,2,1
train_000564,0.5,3,0
train_000565,0.0036924477,4,1
train_000566,0.003157697,4,1
train_000567,0.15921864,2,1
train_000568,0.5,2,0
train_000569,0.018743942,4,1
train_000570,0.90816635,2,1
train_000571,0.08021789,4,1
train_000572,0.0004561696,3,1
train_000573,0.5,4,0
train_000574,0.0021617885,4,1
train_000575,0.009694804,3,1
train_000576,0.5,4,0
train_000577,0.5,4,0
train_000578,0.00023308881,3,1
train_000579,0.00018773378,1,1
train_000580,0.0002853253,2,1
train_000581,0.22610994,3,1
train_000582,0.0006034246,2,1
train_000583,0.00095878274,4,1
train_000584,0.5,4,0
train_000585,0.0069839293,4,1
train_000586,0.015877154,2,1
train_000587,0.0010098388,4,1
train_000588,0.018392762,3,1
train_000589,0.5,4,0
train_000590,0.0155897895,2,1
train_000591,0.012283072,4,1
train_000592,0.5,3,0
train_000593,0.5,3,0
train_000594,0.013607652,1,1
train_000595,0.006623777,2,1
train_000596,0.5,3,0
train_000597,0.0053180307,3,1
train_000598,0.034758016,2,1
train_000599,0.00011030678,4,1
train_000600,0.5,1,0
train_000601,0.001123746,4,1
train_000602,0.0073786834,3,1
train_000603,0.0023115117,4,1
train_000604,0.5,1,0
train_000605,0.00057821936,4,1
train_000606,0.5,2,0
train_000607,0.5,3,0
train_000608,0.5,2,0
train_000609,0.979836,3,1
train_000610,0.5,3,0
train_000611,0.00091374957,4,1
train_000612,0.0023944394,4,1
train_000613,0.059556186,4,1
train_000614,0.6456082,4,1
train_000615,0.5,2,0
train_000616,0.5,4,0
train_000617,0.00014895009,1,1
train_000618,0.0012171178,2,1
train_000619,0.06538658,4,1
train_000620,0.5,4,0
train_000621,0.0013093441,3,1
train_000622,0.5,1,0
train_000623,0.00092264236,2,1
train_000624,0.00011451282,3,1
train_000625,0.5,4,0
train_000626,0.5,4,0
train_000627,0.0133966515,2,1
train_000628,0.051799204,2,1
train_000629,0.5,3,0
train_000630,0.004670728,4,1
train_000631,0.0012369002,2,1
train_000632,0.5,2,0
train_000633,0.002785935,1,1
train_000634,0.00015475917,3,1
train_000635,0.5,3,0
train_000636,0.0004286827,4,1
train_000637,0.5,4,0
train_000638,0.0013334745,4,1
train_000639,0.0001278627,4,1
train_000640,0.5,2,0
train_000641,0.119023375,4,1
train_000642,0.5,1,0
train_000643,0.0006378498,2,1
train_000644,0.006196799,1,1
train_000645,0.0025156294,2,1
train_000646,0.5,4,0
train_000647,0.0012251296,3,1
train_000648,0.5,4,0
train_000649,0.0004508461,1,1
train_000650,0.5,3,0
train_000651,0.0019812884,2,1
train_000652,0.5,4,0
train_000653,0.00056460215,3,1
train_000654,0.001787907,3,1
train_000655,0.0026498095,2,1
train_000656,0.5,3,0
train_000657,0.009060371,4,1
train_000658,0.005137073,2,1
train_000659,0.003498291,3,1
train_000660,0.5,2,0
train_000661,0.5,1,0
train_000662,0.5,2,0
train_000663,0.025218582,1,1
train_000664,0.07130484,3,1
train_000665,0.0021135493,3,1
train_000666,0.5,4,0
train_000667,0.5,4,0
train_000668,0.0836642,4,1
train_000669,0.0002227888,4,1
train_000670,0.5,1,0
train_000671,0.00060360855,4,1
train_000672,0.5,4,0
train_000673,0.090044215,3,1
train_000674,0.0033407535,2,1
train_000675,0.00039962403,2,1
train_000676,0.0012981927,3,1
train_000677,0.5,2,0
train_000678,0.009787568,2,1
train_000679,0.0034999703,3,1
train_000680,0.002302742,3,1
train_000681,0.00031644996,3,1
train_000682,0.019976849,2,1
train_000683,9.9096935e-05,1,1
train_000684,0.93311065,2,1
train_000685,0.0005401725,4,1
train_000686,0.00315676,3,1
train_000687,0.014271831,4,1
train_000688,0.004264416,3,1
train_000689,0.5,2,0
train_000690,0.1711086,2,1
train_000691,0.001959797,3,1
train_000692,0.5,2,0
train_000693,0.007987164,4,1
train_000694,0.5,2,0
train_000695,0.0010472983,1,1
train_000696,0.0013042623,2,1
train_000697,0.21481457,3,1
train_000698,0.29353648,1,1
train_000699,0.00046293924,1,1
train_000700,0.00029400596,2,1
train_000701,0.011129339,4,1
train_000702,0.001960634,2,1
train_000703,0.07885214,3,1
train_000704,0.0006226973,4,1
train_000705,0.00117131,2,1
train_000706,0.5,2,0
train_000707,0.0010262985,3,1
train_000708,0.038070142,4,1
train_000709,0.00066994206,2,1
train_000710,0.0002313564,1,1
train_000711,0.5,2,0
train_000712,0.5,3,0
train_000713,0.5,1,0
train_000714,0.5,1,0
train_000715,0.5,1,0
train_000716,0.0005161319,3,1
train_000717,0.0019229442,3,1
train_000718,6.77102e-05,1,1
train_000719,0.0010756366,4,1
train_000720,0.0027197597,4,1
train_000721,0.009544229,4,1
train_000722,0.0014158484,2,1
train_000723,0.000115462004,1,1
train_000724,0.5,3,0
train_000725,0.0064096716,4,1
train_000726,0.0060219965,1,1
train_000727,8.080665e-05,1,1
train_000728,0.0033586738,2,1
train_000729,0.0014566605,4,1
train_000730,0.91648436,3,1
train_000731,0.5,2,0
train_000732,0.99316967,4,1
train_000733,0.016824616,1,1
train_000734,0.00034060355,3,1
train_000735,0.0007238249,3,1
train_000736,0.0003058242,2,1
train_000737,0.001012205,1,1
train_000738,0.0011842396,4,1
train_000739,0.5,4,0
train_000740,0.023727747,4,1
train_000741,0.9930675,4,1
train_000742,0.5,4,0
train_000743,0.5,1,0
train_000744,0.5498662,2,1
train_000745,0.0007559925,3,1
train_000746,0.0010776654,2,1
train_000747,0.5,3,0
train_000748,0.0034475557,4,1
train_000749,0.5,2,0
train_000750,0.5,4,0
train_000751,0.1885772,4,1
train_000752,0.002664988,4,1
train_000753,0.5,2,0
train_000754,0.0007681084,3,1
train_000755,0.0013022609,3,1
train_000756,0.9763499,4,1
train_000757,0.031931445,4,1
train_000758,0.00030305522,2,1
train_000759,0.00038316613,3,1
train_000760,0.00088778354,4,1
train_000761,0.00060809136,3,1
train_000762,0.5,1,0
train_000763,0.10765411,3,1
train_000764,0.00015371379,1,1
train_000765,0.5,3,0
train_000766,0.008751813,4,1
train_000767,4.223769e-05,4,1
train_000768,0.005429385,2,1
train_000769,0.010721342,4,1
train_000770,0.00087627204,4,1
train_000771,0.5,1,0
train_000772,0.5,2,0
train_000773,0.0060303505,2,1
train_000774,0.0023384693,2,1
train_000775,0.5,1,0
train_000776,0.5,1,0
train_000777,0.0029914589,3,1
train_000778,0.0005025892,2,1
train_000779,0.000374683,2,1
train_000780,8.2805425e-05,4,1
train_000781,0.09954953,3,1
train_000782,0.5,1,0
train_000783,0.5,3,0
train_000784,0.0012787146,3,1
train_000785,0.12224325,3,1
train_000786,0.5,2,0
train_000787,0.036319707,2,1
train_000788,0.0002937278,3,1
train_000789,0.5,2,0
train_000790,0.0004819848,2,1
train_000791,0.0035578352,4,1
train_000792,0.007354512,3,1
train_000793,0.0023745769,4,1
train_000794,0.002277802,4,1
train_000795,0.006437084,4,1
train_000796,0.024507085,3,1
train_000797,0.74319226,1,1
train_000798,0.5,4,0
train_000799,0.0006067763,2,1
train_000800,0.0012386389,2,1
train_000801,0.5,3,0
train_000802,0.9187917,4,1
train_000803,0.067277096,3,1
train_000804,0.5,2,0
train_000805,0.035496797,3,1
train_000806,0.5,4,0
train_000807,0.00074208196,3,1
train_000808,0.5,1,0
train_000809,0.00810837,3,1
train_000810,0.5,2,0
train_000811,0.5,1,0
train_000812,0.5,2,0
train_000813,0.00011565682,1,1
train_000814,0.014659537,3,1
train_000815,0.86083066,3,1
train_000816,0.00041582796,3,1
train_000817,0.5,4,0
train_000818,0.000427385,2,1
train_000819,0.00016411195,2,1
train_000820,0.5,1,0
train_000821,0.0004987022,3,1
train_000822,0.0003518571,3,1
train_000823,0.5,2,0
train_000824,0.00016421145,2,1
train_000825,0.5,2,0
train_000826,0.5,1,0
train_000827,0.5,4,0
train_000828,0.09527146,3,1
train_000829,0.00032830986,3,1
train_000830,0.01309265,3,1
train_000831,0.00037840664,2,1
train_000832,0.5,4,0
train_000833,0.5,2,0
train_000834,0.07104799,3,1
train_000835,0.00069540937,3,1
train_000836,0.117147855,2,1
train_000837,0.03905223,4,1
train_000838,0.0001923089,3,1
train_000839,0.012742364,1,1
train_000840,0.035075773,3,1
train_000841,0.5,2,0
train_000842,0.00013205841,3,1
train_000843,0.0002854175,3,1
train_000844,0.00046037795,4,1
train_000845,0.001041918,3,1
train_000846,6.136091e-05,3,1
train_000847,0.0001651952,1,1
train_000848,0.5,3,0
train_000849,0.5,1,0
train_000850,0.5,1,0
train_000851,0.62047046,3,1
train_000852,0.019245759,4,1
train_000853,0.016507195,2,1
train_000854,0.15727852,4,1
train_000855,0.0010262078,4,1
train_000856,0.067574605,4,1
train_000857,0.0037488877,3,1
train_000858,0.00087050773,2,1
train_000859,0.5,1,0
train_000860,1.5231871e-05,2,1
train_000861,0.5,3,0
train_000862,0.5,2,0
train_000863,0.002763725,4,1
train_000864,0.5,1,0
train_000865,0.00046243152,2,1
train_000866,0.0013172656,4,1
train_000867,0.5,2,0
train_000868,0.011596289,1,1
train_000869,0.5,4,0
train_000870,0.007859895,3,1
train_000871,0.0017613366,3,1
train_000872,2.7492357e-05,2,1
train_000873,0.008407923,4,1
train_000874,0.16514748,4,1
train_000875,0.0037607076,3,1
train_000876,0.00015563422,1,1
train_000877,0.0005421936,4,1
train_000878,0.024327805,1,1
train_000879,0.5,1,0
train_000880,3.2503736e-05,1,1
train_000881,6.537792e-05,2,1
train_000882,0.027564058,3,1
train_000883,0.013877332,3,1
train_000884,0.5,2,0
train_000885,0.9938176,4,1
train_000886,5.8813253e-05,3,1
train_000887,0.00012344755,4,1
train_000888,0.5,1,0
train_000889,0.5,2,0
train_000890,0.0010479606,4,1
train_000891,0.5,4,0
train_000892,0.00012500401,3,1
train_000893,0.15604582,3,1
train_000894,0.5,2,0
train_000895,0.5,3,0
train_000896,0.013041163,2,1
train_000897,0.008001675,3,1
train_000898,0.5,2,0
train_000899,0.0032441611,4,1
train_000900,0.5,3,0
train_000901,0.5,1,0
train_000902,0.00018160846,1,1
train_000903,0.0014415449,3,1
train_000904,0.0037193466,2,1
train_000905,0.5,1,0
train_000906,0.9371238,3,1
train_000907,0.034275357,4,1
train_000908,0.5,2,0
train_000909,0.011267841,4,1
train_000910,0.5,2,0
train_000911,8.1281665e-05,2,1
train_000912,0.5,2,0
train_000913,0.002347037,3,1
train_000914,0.5,2,0
train_000915,0.5,2,0
train_000916,0.0035468184,4,1
train_000917,0.5,2,0
train_000918,0.5,2,0
train_000919,0.0087741865,4,1
train_000920,0.0013485724,4,1
train_000921,0.5,4,0
train_000922,0.013762413,3,1
train_000923,0.5,2,0
train_000924,0.5,3,0
train_000925,0.5,1,0
train_000926,0.01930347,2,1
train_000927,0.008234572,4,1
train_000928,0.0010825006,1,1
train_000929,0.006173088,4,1
train_000930,0.0010848835,2,1
train_000931,0.5,1,0
train_000932,0.04075195,4,1
train_000933,0.00010371575,3,1
train_000934,0.0029196506,3,1
train_000935,0.032215357,2,1
train_000936,0.5,4,0
train_000937,0.0002647103,4,1
train_000938,7.867718e-05,3,1
train_000939,0.5,4,0
train_000940,0.00041866497,2,1
train_000941,0.00024271941,3,1
train_000942,0.0068569314,3,1
train_000943,0.0028325897,3,1
train_000944,0.974271,3,1
train_000945,0.5,1,0
train_000946,0.5,1,0
train_000947,0.5,4,0
train_000948,4.9443945e-05,3,1
train_000949,0.00029370084,3,1
