sample_idx,label,binary_label,prediction,correct,dominant_token,attn_img,attn_txt,attn_cross,attn_diff,attn_scalars,aitr_prob
46,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0731
47,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0576
48,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0467
49,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0541
50,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0712
51,true,0,0,1,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0479
52,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.185,0.0454
53,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0643
54,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1849,0.0383
55,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1637,0.1609,0.1849,0.0383
56,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0509
57,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0414
58,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0481
59,out-of-context,1,1,1,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.106
60,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0442
61,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0523
62,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0451
63,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0445
64,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0417
65,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0467
66,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1848,0.0375
67,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.185,0.0421
68,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0625
69,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1609,0.1852,0.0616
70,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0557
71,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1852,0.062
72,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0373
73,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1637,0.1609,0.1848,0.0355
74,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0829
75,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0448
76,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0511
77,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0715
78,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1852,0.0656
79,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0584
80,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0529
81,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0382
82,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1609,0.1849,0.0365
83,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0417
84,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0469
85,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0493
86,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0568
87,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0434
88,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0555
89,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1852,0.0608
90,true,0,0,1,scalars,0.1636,0.1608,0.1636,0.161,0.1851,0.0568
91,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0574
92,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.076
93,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0644
94,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1852,0.0659
95,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0556
96,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0439
97,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0487
98,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0999
99,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.161,0.1848,0.0371
100,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1637,0.161,0.1848,0.037
101,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0484
102,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0468
103,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0557
104,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0469
105,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0472
106,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0487
107,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0753
108,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0411
109,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1637,0.1609,0.1848,0.0398
110,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0527
111,true,0,0,1,scalars,0.1636,0.161,0.1636,0.1609,0.1849,0.0374
112,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0465
113,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.185,0.0448
114,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0433
115,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1608,0.185,0.0422
116,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0704
117,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.048
118,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1608,0.185,0.0424
119,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0445
120,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0435
121,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0455
122,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0408
123,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.05
124,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0805
125,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0462
126,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0472
127,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0401
128,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0506
129,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.066
130,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0603
131,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0499
132,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0523
133,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0618
134,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0817
135,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0405
136,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1609,0.1849,0.0385
137,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0669
138,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.039
139,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0631
140,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0412
141,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0501
142,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0416
143,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0577
144,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0414
145,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.041
146,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0532
147,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.042
148,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.042
149,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0546
150,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0453
151,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0392
152,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.056
153,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0647
154,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.065
155,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0826
156,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1848,0.0387
157,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0434
158,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0494
159,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1848,0.0377
160,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0452
161,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1852,0.0829
162,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0541
163,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0563
164,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1852,0.0666
165,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.185,0.0428
166,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0549
167,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0552
168,true,0,0,1,scalars,0.1636,0.161,0.1637,0.1609,0.1848,0.0376
169,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0438
170,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0464
171,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0418
172,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1637,0.1609,0.1849,0.0394
173,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1853,0.0992
174,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0527
175,miscaptioned,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0946
176,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1852,0.0627
177,true,0,0,1,scalars,0.1636,0.1608,0.1636,0.161,0.185,0.0438
178,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0569
179,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0766
180,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0439
181,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0486
182,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0431
183,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.056
184,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1637,0.1609,0.1848,0.0381
185,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0585
186,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0454
187,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0547
188,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0699
189,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0427
190,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.043
191,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0507
192,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.046
193,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0394
194,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0562
195,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.185,0.0441
196,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0542
197,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0592
198,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0507
199,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0456
200,out-of-context,1,1,1,scalars,0.1635,0.1608,0.1636,0.1608,0.1853,0.1125
201,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0455
202,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.161,0.185,0.0432
203,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0674
204,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0472
205,miscaptioned,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0619
206,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0522
207,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0422
208,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1609,0.1849,0.0388
209,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.045
210,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0494
211,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0488
212,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0557
213,true,0,0,1,scalars,0.1636,0.161,0.1636,0.1608,0.1849,0.0406
214,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0538
215,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0891
216,true,0,0,1,scalars,0.1636,0.161,0.1636,0.1607,0.1852,0.0614
217,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0644
218,out-of-context,1,0,0,scalars,0.1636,0.161,0.1636,0.1608,0.185,0.0476
219,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0488
220,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0442
221,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0651
222,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0475
223,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0403
224,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0535
225,true,0,0,1,scalars,0.1636,0.161,0.1636,0.1609,0.185,0.043
226,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0604
227,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0594
228,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.161,0.1849,0.0393
229,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0484
230,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.048
231,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0449
232,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0495
233,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0556
234,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1849,0.0379
235,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.185,0.0414
236,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0428
237,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.185,0.0388
238,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0459
239,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0558
240,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1848,0.0375
241,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0392
242,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0555
243,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0502
244,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0583
245,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0472
246,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0476
247,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1852,0.063
248,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0647
249,true,0,0,1,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0928
250,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0471
251,out-of-context,1,1,1,scalars,0.1636,0.1608,0.1635,0.1609,0.1852,0.1104
252,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0416
253,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0475
254,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0708
255,true,0,0,1,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0511
256,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.185,0.0429
257,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0495
258,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0561
259,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0583
260,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0871
261,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.043
262,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0583
263,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.054
264,true,0,0,1,scalars,0.1636,0.161,0.1636,0.1609,0.1848,0.0411
265,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1609,0.1848,0.0407
266,out-of-context,1,1,1,scalars,0.1635,0.1609,0.1636,0.1608,0.1853,0.1211
267,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0433
268,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0587
269,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0492
270,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0595
271,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0404
272,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0764
273,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0522
274,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0545
275,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0569
276,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1849,0.0374
277,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0477
278,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.185,0.0418
279,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0493
280,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0567
281,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1852,0.0709
282,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0385
283,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0368
284,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1609,0.1852,0.076
285,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0405
286,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0433
287,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0543
288,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0524
289,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0527
290,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0816
291,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0411
292,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0393
293,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0506
294,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0513
295,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0619
296,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0918
